ID	NameB	TF
932	田所	3,706
933	廣瀬	3,691
934	平賀	3,688
935	神戸	3,685
936	福地	3,682
937	阪口	3,681
938	若山	3,681
939	川添	3,676
940	熊倉	3,674
941	寺岡	3,670
942	猪股	3,662
943	城戸	3,651
944	新村	3,650
945	末吉	3,649
946	紺野	3,645
947	磯野	3,642
948	重松	3,638
949	小平	3,636
950	鶴岡	3,633
951	野島	3,633
952	五味	3,625
953	森井	3,622
954	丸田	3,617
955	冨永	3,605
956	金澤	3,599
957	菊田	3,589
958	夏目	3,582
959	長友	3,580
960	照井	3,577
961	米倉	3,574
962	赤羽	3,568
963	湊	3,563
964	牧田	3,553
965	重田	3,547
966	寺西	3,540
967	土谷	3,538
968	石沢	3,534
969	松橋	3,527
970	藤島	3,525
971	玉田	3,522
972	福士	3,522
973	村中	3,513
974	増井	3,511
975	西森	3,508
976	新保	3,492
977	岡島	3,490
978	河西	3,474
979	西井	3,474
980	持田	3,473
981	小高	3,473
982	大関	3,473
983	岩村	3,471
984	今川	3,460
985	氏家	3,459
986	柿沼	3,458
987	中岡	3,442
988	長坂	3,439
989	神原	3,434
990	長沼	3,430
991	古市	3,428
992	川嶋	3,426
993	深井	3,424
994	有村	3,424
995	境	3,423
996	西浦	3,419
997	石岡	3,415
998	宮里	3,408
999	宇田川	3,406
1000	安永	3,405
1001	松谷	3,405
1002	品川	3,396
1003	浦	3,395
1004	寺井	3,395
1005	二瓶	3,390
1006	柳瀬	3,390
1007	藤山	3,383
1008	伊達	3,382
1009	大越	3,380
1010	寺崎	3,373
1011	鵜飼	3,368
1012	秋本	3,365
1013	鬼頭	3,361
1014	河上	3,358
1015	古橋	3,352
1016	磯崎	3,348
1017	梶田	3,339
1018	土肥	3,338
1019	相田	3,334
1020	長浜	3,330
1021	野間	3,330
1022	小村	3,315
1023	大前	3,313
1024	富沢	3,309
1025	平原	3,308
1026	辻村	3,302
1027	我妻	3,292
1028	滝田	3,289
1029	倉橋	3,288
1030	的場	3,286
1031	鹿野	3,271
1032	金野	3,260
1033	野尻	3,256
1034	柿崎	3,245
1035	北岡	3,240
1036	石村	3,236
1037	上岡	3,229
1038	坂	3,225
1039	小山田	3,221
1040	室井	3,215
1041	寺内	3,208
1042	河崎	3,206
1043	河口	3,203
1044	塩崎	3,201
1045	高坂	3,198
1046	益子	3,196
1047	加瀬	3,193
1048	江田	3,193
1049	住田	3,192
1050	藤谷	3,191
1051	安川	3,190
1052	矢吹	3,189
1053	郡司	3,187
1054	谷内	3,182
1055	伴	3,179
1056	本郷	3,177
1057	宮澤	3,168
1058	南雲	3,168
1059	坪田	3,167
1060	渥美	3,164
1061	大宮	3,158
1062	小俣	3,157
1063	迫田	3,155
1064	中森	3,151
1065	仲野	3,151
1066	広川	3,146
1067	梅木	3,143
1068	平本	3,142
1069	対馬	3,133
1070	安東	3,130
1071	船木	3,128
1072	金原	3,127
1073	栗本	3,126
1074	安原	3,124
1075	伏見	3,121
1076	花井	3,120
1077	増子	3,116
1078	森島	3,110
1079	垣内	3,109
1080	黒澤	3,108
1081	鹿島	3,105
1082	新川	3,101
1083	真野	3,101
1084	赤井	3,101
1085	小暮	3,099
1086	東野	3,098
1087	粕谷	3,089
1088	塚越	3,088
1089	江頭	3,086
1090	水本	3,082
1091	神保	3,081
1092	棚橋	3,081
1093	山脇	3,076
1094	矢崎	3,075
1095	金	3,072
1096	松林	3,072
1097	田沢	3,066
1098	唐沢	3,064
1099	鳴海	3,056
1100	大坂	3,055
1101	東山	3,053
1102	片野	3,050
1103	津村	3,048
1104	相良	3,047
1105	湯川	3,046
1106	増山	3,045
1107	中道	3,045
1108	長山	3,044
1109	船越	3,038
1110	加賀	3,035
1111	八巻	3,031
1112	小山内	3,029
1113	赤塚	3,026
1114	久田	3,018
1115	住吉	3,017
1116	湯本	3,017
1117	福元	3,015
1118	森崎	3,013
1119	保田	3,012
1120	藤巻	3,011
1121	稲村	3,006
1122	畑山	2,998
1123	塩沢	2,995
1124	小竹	2,991
1125	須永	2,986
1126	熊沢	2,985
1127	村越	2,981
1128	高森	2,978
1129	薄井	2,978
1130	関本	2,974
1131	大河原	2,971
1132	谷田	2,968
1133	袴田	2,963
1134	大岩	2,961
1135	河井	2,958
1136	神	2,957
1137	長屋	2,957
1138	梶山	2,954
1139	吉見	2,952
1140	下野	2,950
1141	緑川	2,950
1142	柿本	2,946
1143	玉川	2,928
1144	高津	2,922
1145	小宮山	2,920
1146	小橋	2,920
1147	八幡	2,919
1148	榊	2,915
1149	鮫島	2,915
1150	桑野	2,911
1151	高沢	2,911
1152	杉崎	2,911
1153	小田島	2,905
1154	二村	2,898
1155	下地	2,896
1156	川内	2,896
1157	長澤	2,887
1158	向山	2,885
1159	丸岡	2,882
1160	竹林	2,879
1161	尾関	2,877
1162	福沢	2,877
1163	堺	2,874
1164	梶	2,859
1165	知念	2,850
1166	篠塚	2,847
1167	沢	2,841
1168	山谷	2,831
1169	高須	2,830
1170	人見	2,830
1171	衛藤	2,825
1172	芝田	2,824
1173	深澤	2,822
1174	村本	2,818
1175	飯村	2,817
1176	高林	2,809
1177	西崎	2,809
1178	井沢	2,802
1179	永瀬	2,802
1180	高杉	2,798
1181	磯貝	2,795
1182	宇田	2,793
1183	長嶋	2,791
1184	中平	2,787
1185	芝	2,785
1186	福留	2,774
1187	三瓶	2,768
1188	浦川	2,765
1189	田嶋	2,765
1190	清原	2,760
1191	赤堀	2,759
1192	米谷	2,759
1193	沢村	2,758
1194	矢沢	2,758
1195	島本	2,757
1196	大迫	2,754
1197	山浦	2,752
1198	岡林	2,751
1199	安西	2,750
1200	桜庭	2,747
1201	浜中	2,746
1202	安岡	2,742
1203	椿	2,738
1204	平石	2,735
1205	藤澤	2,734
1206	疋田	2,734
1207	吉武	2,731
1208	鶴見	2,731
1209	勝山	2,729
1210	植野	2,728
1211	牛島	2,722
1212	川又	2,722
1213	高本	2,719
1214	木谷	2,718
1215	駒井	2,712
1216	加茂	2,709
1217	宮村	2,700
1218	安江	2,697
1219	岩元	2,696
1220	若杉	2,694
1221	川名	2,691
1222	大杉	2,680
1223	新山	2,679
1224	早瀬	2,678
1225	村尾	2,676
1226	仲	2,674
1227	平間	2,667
1228	伊勢	2,665
1229	兵頭	2,661
1230	柳井	2,661
1231	関野	2,658
1232	小崎	2,657
1233	米村	2,654
1234	金本	2,653
1235	小峰	2,652
1236	安斎	2,651
1237	加賀谷	2,649
1238	森野	2,648
1239	岩橋	2,646
1240	保科	2,646
1241	大屋	2,642
1242	高塚	2,640
1243	井戸	2,637
1244	竹山	2,637
1245	磯田	2,634
1246	廣田	2,628
1247	城	2,627
1248	須貝	2,626
1249	辻井	2,626
1250	松葉	2,623
1251	深川	2,622
1252	塙	2,622
1253	谷山	2,620
1254	西垣	2,617
1255	小熊	2,612
1256	岩切	2,610
1257	黒瀬	2,609
1258	鎌倉	2,607
1259	犬飼	2,607
1260	芹沢	2,606
1261	板谷	2,602
1262	西澤	2,601
1263	別府	2,600
1264	青島	2,599
1265	大上	2,595
1266	相澤	2,592
1267	橋詰	2,590
1268	名倉	2,589
1269	鷲見	2,587
1270	熊野	2,580
1271	桂	2,575
1272	竹島	2,574
1273	日向	2,571
1274	柳沼	2,567
1275	木島	2,566
1276	桐山	2,565
1277	高久	2,560
1278	船橋	2,555
1279	伊沢	2,553
1280	鳥越	2,552
1281	砂田	2,549
1282	山路	2,548
1283	猪狩	2,547
1284	丸尾	2,546
1285	国井	2,541
1286	塩野	2,540
1287	柴	2,540
1288	志水	2,535
1289	長	2,535
1290	羽鳥	2,532
1291	飯沼	2,532
1292	新美	2,527
1293	上林	2,524
1294	佃	2,523
1295	脇	2,523
1296	猪俣	2,521
1297	小浜	2,520
1298	生駒	2,517
1299	笹本	2,514
1300	村川	2,511
1301	大泉	2,510
1302	岩野	2,506
1303	竹之内	2,500
1304	長内	2,499
1305	荒谷	2,489
1306	清家	2,486
1307	岩見	2,483
1308	添田	2,480
1309	岩沢	2,476
1310	柘植	2,474
1311	名取	2,474
1312	早田	2,470
1313	塩川	2,459
1314	梶谷	2,458
1315	山西	2,449
1316	上島	2,449
1317	関川	2,447
1318	柳澤	2,447
1319	塩原	2,446
1320	福嶋	2,439
1321	庄子	2,436
1322	五島	2,435
1323	永松	2,434
1324	徳山	2,426
1325	時田	2,423
1326	曽我部	2,420
1327	長嶺	2,418
1328	仲宗根	2,414
1329	直井	2,414
1330	幸田	2,410
1331	熊本	2,406
1332	上西	2,406
1333	松坂	2,403
1334	竹谷	2,397
1335	竹井	2,394
1336	藤江	2,393
1337	赤間	2,390
1338	川尻	2,389
1339	馬渕	2,385
